Date_of_Sale,Customer_Name,Age,Gender,Location,Laptop_Brand,Model,Processor,RAM_Size,Storage_Size,Price,Discount_Applied,Final_Price,Payment_Method,Warranty_Period,Customer_Rating,Sales_Channel
19-01-2025,Dawn Shelton,37,Female,West William,MSI,MSI 651,Ryzen 7,8GB,1TB SSD,11980,8,11021.6,Net Banking,2,1,Offline
03-01-2025,Bobby Bates,60,Other,Port Lisa,MSI,MSI 841,i5,32GB,512GB SSD,24870,0,24870,Net Banking,3,5,Online
22-01-2025,William Calderon,59,Female,Lake Valerieville,Apple,Apple 987,Ryzen 3,8GB,256GB SSD,13650,12,12012,UPI,1,4,Offline
17-01-2025,Nathan Brown,42,Female,East Todd,MSI,MSI 358,i3,32GB,256GB SSD,5130,30,3591,UPI,1,1,Online
04-01-2025,Andrew Frazier,33,Male,Martinbury,Dell,Dell 736,i5,8GB,512GB SSD,22390,21,17688.1,Credit Card,3,2,Offline
14-01-2025,Richard Tran,41,Male,Colemouth,HP,HP 896,i5,16GB,256GB SSD,4050,29,2875.5,UPI,3,4,Online
16-01-2025,Renee Ritter,22,Other,Port Mollyberg,Lenovo,Lenovo 204,Ryzen 7,16GB,256GB SSD,4680,11,4165.2,Cash,2,3,Offline
15-01-2025,Dennis Vaughn,18,Female,North Lisa,Samsung,Samsung 208,Ryzen 3,16GB,1TB SSD,9260,13,8056.2,Debit Card,3,5,Offline
08-01-2025,Robert Pierce,47,Female,Walkerburgh,Acer,Acer 430,i5,4GB,1TB HDD,21460,7,19957.8,Net Banking,3,5,Offline
01-01-2025,Kiara Harper,19,Female,Sueville,Asus,Asus 286,Ryzen 3,8GB,1TB HDD,13580,10,12222,UPI,3,3,Online
15-01-2025,Craig Austin,23,Male,Lake Mary,MSI,MSI 600,Ryzen 5,8GB,1TB SSD,23100,14,19866,Credit Card,1,3,Offline
01-01-2025,Lauren Wallace,62,Male,Ryanton,Acer,Acer 779,Ryzen 5,16GB,1TB SSD,24740,11,22018.6,Net Banking,3,5,Offline
18-01-2025,Linda Barrett MD,62,Female,Gaineschester,Acer,Acer 413,i7,8GB,256GB SSD,10880,10,9792,Credit Card,3,5,Online
22-01-2025,Christopher Nelson,31,Other,Josephport,Samsung,Samsung 383,Ryzen 7,16GB,256GB SSD,10950,9,9964.5,Debit Card,2,2,Online
06-01-2025,Daniel Ward,63,Other,Lake Haleyborough,Apple,Apple 380,i3,4GB,1TB HDD,8170,20,6536,Net Banking,1,1,Offline
12-01-2025,Anthony Roth,48,Female,West Fernandochester,Asus,Asus 288,i3,16GB,1TB SSD,7670,26,5675.8,Credit Card,2,4,Online
16-01-2025,Shelby Obrien,27,Male,Derekmouth,Acer,Acer 187,i5,4GB,1TB SSD,12240,24,9302.4,Cash,2,4,Offline
05-01-2025,Kim Randall,55,Female,Andersonchester,Acer,Acer 682,Ryzen 5,4GB,256GB SSD,11510,20,9208,Debit Card,2,1,Online
19-01-2025,John Huber,29,Other,West Brentshire,HP,HP 260,i3,32GB,1TB SSD,22240,9,20238.4,Credit Card,1,3,Offline
03-01-2025,Stephanie Allen,22,Other,East Nathan,Lenovo,Lenovo 370,Ryzen 7,8GB,1TB SSD,7700,17,6391,Debit Card,3,2,Online
11-01-2025,Noah Ryan,22,Male,Port Erinborough,Apple,Apple 911,i7,16GB,1TB SSD,8090,14,6957.4,UPI,3,4,Offline
22-01-2025,Jason Duran,46,Male,New Meganfurt,Dell,Dell 542,Ryzen 7,16GB,1TB HDD,4050,2,3969,Debit Card,3,5,Offline
03-01-2025,Robert Mack,54,Male,Smithfort,Apple,Apple 581,Ryzen 5,32GB,1TB HDD,10430,18,8552.6,Net Banking,3,4,Offline
04-01-2025,Jacqueline Kelly,40,Female,Williamtown,Asus,Asus 428,Ryzen 7,4GB,512GB SSD,16500,13,14355,Net Banking,2,4,Offline
14-01-2025,Kathleen Torres,23,Female,Courtneyshire,Acer,Acer 431,i3,32GB,256GB SSD,21920,13,19070.4,Credit Card,1,5,Offline
09-01-2025,Brittany Bradley,58,Female,Brendaburgh,Dell,Dell 308,i7,8GB,1TB HDD,20940,28,15076.8,Net Banking,1,1,Online
04-01-2025,Devin Walsh,37,Other,Port Sydneytown,Dell,Dell 665,Ryzen 3,4GB,512GB SSD,7640,14,6570.4,Credit Card,3,2,Offline
13-01-2025,David Summers,50,Other,Port Sarah,Acer,Acer 525,Ryzen 3,32GB,512GB SSD,21700,17,18011,Debit Card,2,2,Online
11-01-2025,Chad Smith,22,Female,South Joshua,MSI,MSI 448,Ryzen 5,16GB,256GB SSD,14580,23,11226.6,UPI,3,5,Online
11-01-2025,Alexis Pierce,46,Other,New Richard,Samsung,Samsung 453,i7,32GB,1TB SSD,16180,27,11811.4,Debit Card,3,2,Online
22-01-2025,Tasha Berry,44,Male,South Robertview,Asus,Asus 862,Ryzen 3,32GB,1TB SSD,9230,15,7845.5,Credit Card,1,5,Online
01-01-2025,Frank George,46,Male,Ellisonmouth,Samsung,Samsung 115,Ryzen 7,8GB,1TB SSD,9320,2,9133.6,Net Banking,2,3,Online
16-01-2025,Gary Weaver,39,Other,West Greg,MSI,MSI 424,Ryzen 7,32GB,256GB SSD,5800,7,5394,UPI,1,1,Online
11-01-2025,Jennifer Thompson,58,Other,Lake Patrickland,HP,HP 554,i5,16GB,256GB SSD,4880,10,4392,Credit Card,2,3,Offline
05-01-2025,Andrea Kennedy,27,Male,Wardberg,MSI,MSI 679,Ryzen 7,8GB,512GB SSD,10170,2,9966.6,Cash,2,5,Offline
16-01-2025,Darryl Frazier,55,Male,Mcgeebury,Lenovo,Lenovo 572,Ryzen 7,16GB,1TB SSD,13450,21,10625.5,Credit Card,2,3,Online
20-01-2025,Debra Barr,22,Female,West Denise,Asus,Asus 701,i7,32GB,1TB HDD,21710,27,15848.3,UPI,1,4,Online
08-01-2025,Stephen Castaneda,33,Female,Lake Edwardmouth,Asus,Asus 688,i7,16GB,256GB SSD,19210,8,17673.2,Credit Card,3,1,Offline
21-01-2025,Phillip Phillips,32,Other,West Haley,Asus,Asus 324,Ryzen 7,8GB,1TB HDD,8600,20,6880,Credit Card,3,1,Offline
16-01-2025,Amy Shepard,20,Other,Amybury,Asus,Asus 849,i5,4GB,1TB HDD,16380,23,12612.6,Net Banking,1,2,Offline
14-01-2025,Melissa Scott,51,Other,Carrolltown,Acer,Acer 950,i5,16GB,1TB SSD,15080,23,11611.6,UPI,1,4,Online
18-01-2025,Lauren Cole,32,Other,Port Keith,MSI,MSI 966,Ryzen 5,16GB,256GB SSD,19160,0,19160,UPI,3,1,Offline
17-01-2025,Johnathan Ward,61,Other,Ashleymouth,Acer,Acer 698,Ryzen 3,16GB,256GB SSD,12570,15,10684.5,Credit Card,3,5,Online
16-01-2025,Melissa Thornton,59,Male,Swansonport,Samsung,Samsung 817,i7,32GB,256GB SSD,8720,1,8632.8,Credit Card,2,4,Online
17-01-2025,Jordan Lee,33,Other,Wrightview,Apple,Apple 497,Ryzen 3,16GB,1TB SSD,9320,28,6710.4,Net Banking,3,1,Offline
05-01-2025,Alan Fischer,35,Male,Michaelside,Asus,Asus 322,Ryzen 3,32GB,512GB SSD,17850,3,17314.5,UPI,3,3,Offline
22-01-2025,Daniel Hernandez,35,Male,New Austin,HP,HP 968,Ryzen 3,4GB,512GB SSD,3870,1,3831.3,UPI,1,2,Online
13-01-2025,Henry Wright II,53,Male,New Mitchellside,Lenovo,Lenovo 932,i5,16GB,512GB SSD,3110,8,2861.2,Debit Card,1,5,Online
06-01-2025,Lawrence Drake,25,Other,Leonardstad,Dell,Dell 234,i3,16GB,512GB SSD,16260,0,16260,Debit Card,2,1,Offline
05-01-2025,April Harrison,51,Male,Dillonmouth,HP,HP 587,Ryzen 3,16GB,256GB SSD,21510,16,18068.4,Debit Card,3,1,Offline
06-01-2025,Richard Morgan,47,Other,Lake Lauramouth,Dell,Dell 162,Ryzen 3,32GB,1TB SSD,7420,15,6307,Net Banking,1,1,Online
15-01-2025,Timothy Smith,22,Male,South Williamburgh,Acer,Acer 739,Ryzen 7,16GB,1TB SSD,24730,9,22504.3,Net Banking,3,5,Online
19-01-2025,Maria Hardy,62,Male,East Angelamouth,Lenovo,Lenovo 540,Ryzen 3,8GB,1TB SSD,16880,26,12491.2,Net Banking,2,4,Offline
14-01-2025,Jennifer Garcia,45,Female,East Evanchester,Acer,Acer 483,i5,32GB,256GB SSD,6730,26,4980.2,Credit Card,1,4,Offline
02-01-2025,Matthew Foster,26,Other,New Linda,Dell,Dell 700,Ryzen 5,16GB,256GB SSD,19820,11,17639.8,Net Banking,3,1,Offline
22-01-2025,Thomas Martinez,40,Male,West Maxwellview,Lenovo,Lenovo 258,Ryzen 7,32GB,512GB SSD,7430,11,6612.7,Cash,2,1,Online
18-01-2025,Mitchell Knight,45,Other,Stanleymouth,Dell,Dell 723,Ryzen 7,16GB,256GB SSD,10380,8,9549.6,UPI,2,3,Online
03-01-2025,Joshua Best DDS,27,Other,Fosterport,MSI,MSI 171,i5,4GB,256GB SSD,24720,6,23236.8,Net Banking,2,4,Online
21-01-2025,Lauren Odonnell,41,Female,Jenkinsmouth,Asus,Asus 895,Ryzen 5,4GB,256GB SSD,9370,5,8901.5,Cash,1,1,Offline
19-01-2025,Tyler Campbell,60,Female,Port Maria,Samsung,Samsung 721,Ryzen 3,32GB,1TB HDD,11820,24,8983.2,Cash,1,3,Online
09-01-2025,Aaron Williams,36,Other,Port Michele,Samsung,Samsung 639,Ryzen 7,16GB,256GB SSD,12030,12,10586.4,Cash,1,1,Offline
09-01-2025,Julie Kennedy,31,Male,Lauraton,Acer,Acer 396,i7,4GB,256GB SSD,23370,23,17994.9,Net Banking,1,2,Online
13-01-2025,Bill Morrison,50,Other,Marilynberg,Asus,Asus 173,Ryzen 3,4GB,1TB SSD,3760,14,3233.6,Credit Card,2,5,Offline
07-01-2025,Aaron Robinson,63,Other,East Davidmouth,MSI,MSI 396,i3,32GB,256GB SSD,16300,5,15485,Cash,2,3,Offline
09-01-2025,Breanna Parks,24,Male,New Melodyland,MSI,MSI 703,Ryzen 3,4GB,1TB SSD,15700,23,12089,UPI,1,3,Online
08-01-2025,William Davenport,50,Other,Ortizfort,HP,HP 643,Ryzen 5,8GB,1TB HDD,17380,23,13382.6,Debit Card,1,1,Offline
19-01-2025,Kelly Brown,30,Male,North Adamside,Apple,Apple 878,Ryzen 7,4GB,512GB SSD,23230,14,19977.8,Cash,3,4,Offline
18-01-2025,Wendy Miles,27,Female,North Chad,HP,HP 580,Ryzen 3,16GB,1TB HDD,5300,11,4717,Cash,1,3,Offline
04-01-2025,Emily Barnes,20,Male,Stephenhaven,Asus,Asus 951,i7,4GB,256GB SSD,23760,12,20908.8,Net Banking,3,5,Offline
20-01-2025,Tony Sanchez,54,Other,South Tracyborough,Lenovo,Lenovo 429,Ryzen 5,32GB,512GB SSD,5530,14,4755.8,Credit Card,2,1,Online
11-01-2025,Nicholas Daniel,20,Male,Nicholasburgh,Samsung,Samsung 549,Ryzen 5,8GB,1TB HDD,18270,29,12971.7,UPI,2,4,Online
03-01-2025,Christopher Buckley,58,Other,New Toni,Asus,Asus 167,i7,4GB,1TB SSD,14630,8,13459.6,Cash,1,3,Online
10-01-2025,Jacqueline Keller,40,Female,West Jasonmouth,MSI,MSI 232,Ryzen 5,4GB,1TB HDD,18420,20,14736,UPI,1,5,Offline
22-01-2025,Elizabeth Armstrong,50,Female,Stanleychester,Dell,Dell 471,i7,8GB,512GB SSD,16990,30,11893,Net Banking,1,2,Online
15-01-2025,Michael Taylor,22,Female,New Loriport,HP,HP 619,Ryzen 5,4GB,1TB HDD,8360,19,6771.6,Net Banking,1,2,Online
02-01-2025,Brittany Foster,64,Female,Wagnershire,Dell,Dell 520,i7,8GB,1TB SSD,14670,24,11149.2,Net Banking,1,5,Offline
11-01-2025,Shane Jacobs,48,Male,Taylormouth,Asus,Asus 794,Ryzen 5,32GB,1TB SSD,14540,24,11050.4,Net Banking,3,5,Online
11-01-2025,Paula Riley,30,Other,Stephanieburgh,Apple,Apple 993,i7,4GB,1TB SSD,18200,17,15106,Credit Card,3,5,Offline
12-01-2025,Richard Petersen,23,Male,West Alyssa,Acer,Acer 560,Ryzen 5,8GB,1TB SSD,6750,30,4725,Debit Card,2,3,Offline
14-01-2025,Jonathan Riley,21,Female,Mirandastad,Asus,Asus 341,Ryzen 3,4GB,1TB HDD,12190,0,12190,UPI,1,3,Online
16-01-2025,Brenda Thompson,20,Female,Zacharyview,Samsung,Samsung 812,i5,32GB,1TB SSD,3210,28,2311.2,Credit Card,1,3,Online
18-01-2025,Brandon Stone,53,Other,South Seth,MSI,MSI 213,i7,8GB,1TB HDD,7990,1,7910.1,Debit Card,2,5,Online
05-01-2025,Steve Thompson,25,Female,South Cherylport,Dell,Dell 747,Ryzen 5,8GB,512GB SSD,14930,13,12989.1,Credit Card,3,3,Offline
17-01-2025,Emily Morgan,29,Other,North Samanthachester,HP,HP 636,i7,4GB,256GB SSD,18990,27,13862.7,Net Banking,1,4,Offline
10-01-2025,Michelle Smith,65,Male,East Paulside,Asus,Asus 907,i3,16GB,512GB SSD,7240,24,5502.4,Cash,3,3,Online
12-01-2025,Raymond Jones,40,Other,Port Brianborough,Asus,Asus 933,Ryzen 7,8GB,1TB SSD,22600,20,18080,Debit Card,1,1,Online
22-01-2025,Jason Kline,36,Male,Port Timothytown,Dell,Dell 910,i5,4GB,1TB HDD,15700,16,13188,Net Banking,3,4,Online
10-01-2025,Dr. Donald Scott MD,59,Male,Millerland,Acer,Acer 465,i3,16GB,1TB HDD,8090,25,6067.5,UPI,2,4,Offline
07-01-2025,Nicole Patterson,39,Male,Pricebury,Samsung,Samsung 808,Ryzen 3,16GB,1TB HDD,6380,23,4912.6,Net Banking,1,4,Offline
07-01-2025,Stephanie Roach,38,Male,Hunterport,HP,HP 435,Ryzen 7,16GB,1TB HDD,21260,19,17220.6,Net Banking,1,4,Offline
17-01-2025,Sherry Adams,20,Other,Christinastad,Asus,Asus 729,Ryzen 3,16GB,256GB SSD,6070,21,4795.3,Net Banking,2,5,Online
22-01-2025,Mark Beard,27,Other,Turnerbury,Samsung,Samsung 135,i5,4GB,512GB SSD,18000,11,16020,Net Banking,3,1,Offline
16-01-2025,Russell James,41,Female,Castroside,Samsung,Samsung 881,i3,8GB,1TB HDD,19300,10,17370,UPI,1,1,Online
08-01-2025,Travis Ward Jr.,49,Other,Juliahaven,MSI,MSI 675,i3,16GB,1TB HDD,21270,6,19993.8,Cash,2,4,Online
20-01-2025,Jason Dennis,26,Male,North David,Samsung,Samsung 276,Ryzen 7,32GB,256GB SSD,16090,21,12711.1,UPI,3,1,Offline
10-01-2025,Michael Charles,37,Male,Port Jason,Apple,Apple 912,i7,8GB,256GB SSD,11230,25,8422.5,Debit Card,1,4,Offline
06-01-2025,Janice Jones,53,Other,Tylershire,Asus,Asus 578,Ryzen 5,8GB,256GB SSD,5690,9,5177.9,Net Banking,3,4,Offline
19-01-2025,David Williams,44,Other,Stewartview,HP,HP 228,i7,4GB,1TB SSD,22080,21,17443.2,Cash,2,2,Online
04-01-2025,David Watson,45,Other,Donaldshire,Dell,Dell 951,i3,8GB,1TB HDD,9740,5,9253,UPI,3,2,Offline
02-01-2025,Joshua King,23,Female,North Erin,Lenovo,Lenovo 750,Ryzen 5,16GB,512GB SSD,15400,19,12474,Cash,1,5,Online
18-01-2025,Ryan Neal,28,Other,Arielstad,Asus,Asus 962,Ryzen 5,4GB,256GB SSD,6320,1,6256.8,Cash,2,2,Online
02-01-2025,Bruce Adams,49,Other,Port Kevin,Acer,Acer 757,i7,32GB,512GB SSD,19630,9,17863.3,Net Banking,1,1,Offline
19-01-2025,Michael Howard,44,Female,Smithport,Samsung,Samsung 308,i7,8GB,1TB HDD,16070,23,12373.9,UPI,2,2,Online
02-01-2025,Thomas Werner,38,Male,Kimberlymouth,Samsung,Samsung 225,i7,32GB,512GB SSD,8770,3,8506.9,Credit Card,2,4,Online
14-01-2025,Nicolas Owens,28,Female,Sheriville,Asus,Asus 294,i5,32GB,1TB SSD,23420,28,16862.4,UPI,2,1,Offline
03-01-2025,Lori Taylor,50,Female,New Jamiebury,Lenovo,Lenovo 320,Ryzen 5,16GB,256GB SSD,5070,9,4613.7,Net Banking,3,4,Online
04-01-2025,Cheryl Kelly,24,Female,Wilsonshire,Apple,Apple 370,Ryzen 7,16GB,1TB SSD,17980,1,17800.2,Net Banking,1,5,Offline
11-01-2025,James Hernandez,53,Female,Jesseport,HP,HP 495,Ryzen 5,32GB,1TB HDD,7860,4,7545.6,Credit Card,2,3,Offline
06-01-2025,Mark Collins,27,Male,East Melindafort,MSI,MSI 612,i3,4GB,256GB SSD,8610,22,6715.8,UPI,2,5,Online
05-01-2025,Amber Lopez,56,Other,East Stephanie,Apple,Apple 435,Ryzen 5,16GB,512GB SSD,19090,19,15462.9,UPI,3,3,Offline
07-01-2025,Anna Murray,63,Other,Arianaview,Acer,Acer 586,i3,16GB,1TB HDD,7480,13,6507.6,Cash,2,1,Offline
13-01-2025,Shelby Johnson,59,Other,Elliottborough,Lenovo,Lenovo 838,i3,32GB,512GB SSD,24470,20,19576,Cash,2,2,Online
09-01-2025,Christine Hines,54,Other,South Karishire,HP,HP 295,i3,32GB,1TB HDD,20150,4,19344,Net Banking,3,2,Offline
06-01-2025,Paul Stewart,65,Other,East Cassandra,Dell,Dell 822,i5,8GB,1TB HDD,22590,16,18975.6,Net Banking,2,2,Offline
09-01-2025,Philip Christian,52,Female,Jamesfurt,Acer,Acer 724,Ryzen 3,8GB,512GB SSD,14420,17,11968.6,UPI,1,3,Online
13-01-2025,Thomas Brown,62,Other,Lake Steven,Samsung,Samsung 424,Ryzen 3,16GB,1TB HDD,14780,3,14336.6,Cash,3,5,Offline
10-01-2025,Andrea Hardy,40,Male,Parsonsbury,Acer,Acer 143,i7,4GB,1TB HDD,21110,20,16888,UPI,3,4,Online
08-01-2025,Katherine Robertson,52,Female,Port Brendahaven,Acer,Acer 240,i3,8GB,512GB SSD,5070,21,4005.3,Cash,1,2,Online
10-01-2025,Keith Mitchell,44,Female,Rodriguezborough,Samsung,Samsung 202,Ryzen 7,8GB,256GB SSD,9460,13,8230.2,Net Banking,2,2,Offline
09-01-2025,Patricia Stewart,36,Other,Jamesview,Dell,Dell 887,i3,8GB,256GB SSD,10170,13,8847.9,Debit Card,1,4,Online
06-01-2025,Francisco Nelson,65,Female,Jeffreyport,Dell,Dell 109,i7,4GB,1TB HDD,14650,14,12599,Cash,3,4,Offline
18-01-2025,Angela Massey,35,Male,Port Valerie,HP,HP 438,i5,32GB,1TB HDD,10620,0,10620,UPI,2,5,Online
10-01-2025,Karina Hicks,57,Other,North Charleshaven,MSI,MSI 946,Ryzen 3,16GB,256GB SSD,19410,21,15333.9,Credit Card,1,2,Offline
11-01-2025,Tina Hurley,33,Male,West Haleychester,Acer,Acer 492,i5,32GB,1TB HDD,16500,9,15015,Cash,3,5,Offline
14-01-2025,Gloria Snyder,59,Female,Allenmouth,Lenovo,Lenovo 163,Ryzen 7,4GB,1TB SSD,15560,5,14782,Net Banking,3,5,Online
17-01-2025,Lisa Thomas,58,Female,Cynthiaville,Asus,Asus 729,i5,8GB,512GB SSD,22580,4,21676.8,Net Banking,3,5,Offline
01-01-2025,Matthew Ferguson,62,Other,Brookeburgh,Samsung,Samsung 875,Ryzen 5,8GB,512GB SSD,6350,16,5334,Net Banking,3,3,Online
06-01-2025,Kevin Harris,21,Other,Gonzalezview,Lenovo,Lenovo 686,Ryzen 5,8GB,512GB SSD,16430,27,11993.9,Cash,2,1,Offline
07-01-2025,Kristi Duran,23,Other,Lake William,Samsung,Samsung 928,i3,32GB,512GB SSD,24020,13,20897.4,Net Banking,3,1,Offline
02-01-2025,Robert Wilson,64,Male,Lake Benjaminmouth,MSI,MSI 360,i3,8GB,256GB SSD,4850,13,4219.5,UPI,3,1,Online
03-01-2025,Dustin Hendrix,22,Female,Kennethhaven,Dell,Dell 393,Ryzen 3,8GB,512GB SSD,20210,11,17986.9,Net Banking,2,4,Online
02-01-2025,Sandra Johnson,61,Other,Peterfort,Apple,Apple 769,i7,4GB,512GB SSD,25000,12,22000,Cash,1,2,Online
20-01-2025,Brian Lambert,37,Female,Port Meganside,MSI,MSI 644,Ryzen 3,8GB,512GB SSD,21860,11,19455.4,Debit Card,2,2,Online
11-01-2025,Amber Barrera,60,Female,Justinchester,Dell,Dell 346,i5,4GB,256GB SSD,4370,14,3758.2,Cash,3,1,Online
05-01-2025,Matthew Guerrero,43,Female,Kirbyburgh,Lenovo,Lenovo 652,i5,4GB,512GB SSD,23630,9,21503.3,Debit Card,3,5,Offline
07-01-2025,Tyrone Santiago,33,Female,West Rachael,Apple,Apple 776,Ryzen 5,8GB,1TB SSD,15300,8,14076,Credit Card,3,5,Offline
14-01-2025,Eric Watkins,53,Female,South Yeseniafurt,Dell,Dell 452,Ryzen 7,32GB,1TB HDD,20050,13,17443.5,Debit Card,2,4,Offline
